"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,1865,0.726040100250627,18,-1.80810922573943,17,4982,4,2,0.6386125,0.00658749999999997,0.0103153320675683,0.7419625,0.9725,0.000802890405459655,0.82717382662391,4666.29189303793,918004,436
1.66666666666667e-05,1865,0.629122807017544,22,-2.06818176039592,16,4978,4,5,0.726475,0.00397499999999995,0.0054716266905261,0.811475,0.9775,0.000803535556448373,0.875526264017313,4653.00401337793,2459355,434
1.66666666666667e-05,1865,0.673721804511278,27,-2.19578997973524,18,4973,6,1,0.7330375,0.00201249999999997,0.00274542571150858,0.7800625,0.9775,0.00120651518198271,0.879447832644764,4683.10706275821,3714861,435
1.66666666666667e-05,1865,0.31281954887218,25,-2.3838021145137,21,4975,9,7,0.766825,0.00119999999999998,0.00156489420663121,0.801825,0.985,0.00180904522613065,0.884566202968187,4624.93007711086,2816274,474
1.66666666666667e-05,1865,0.529649122807018,22,-2.14379704390619,19,4978,7,4,0.7544625,0.00190625,0.00252663319913183,0.8065125,0.98,0.00140618722378465,0.891075995615638,4661.2742705778,7400797,488
1.66666666666667e-05,1865,0.599448621553885,25,-2.18823904785738,20,4975,8,3,0.6751375,0.00273749999999995,0.00405472959212005,0.7120375,0.9775,0.00160804020100503,0.846357138172995,4601.01385664634,7724684,480
1.66666666666667e-05,1865,0.436829573934837,21,-2.18182953805589,14,4979,9,3,0.8114375,0.00143749999999998,0.00177154740814909,0.8609375,0.9725,0.00180759188592087,1,5000,6097007,489
1.66666666666667e-05,1865,1.31721804511278,25,-1.69851486073977,18,4975,4,2,0.366175,0.154575,0.422134225438656,0.724975,0.9725,0.000804020100502513,0.668002809212096,3616.05367317733,3490266,486
1.66666666666667e-05,1865,0.655375939849624,30,-2.2815269431198,15,4970,2,4,0.7467875,0.00288124999999995,0.00385819259160062,0.8244125,0.9775,0.000402414486921529,0.887068004459309,4654.29832120139,8781374,485
1.66666666666667e-05,1865,0.344047619047619,26,-2.38512350898261,14,4974,17,3,0.7745875,0.00458124999999998,0.00591443833007889,0.8886625,0.9875,0.00341777241656614,0.894396967165713,4889.52347233824,6929215,484
1.66666666666667e-05,1865,0.710075187969925,31,-2.27250581345158,23,4969,14,4,0.667625,0.011525,0.01726268489047,0.837725,0.98,0.00281746830348159,0.835005741427006,4543.54036614646,4023598,477
1.66666666666667e-05,1865,0.521328320802005,23,-2.18273016007266,17,4977,8,2,0.8109625,0.000962499999999977,0.00118686129136671,0.8469625,0.975,0.0016073940124573,0.925179619009953,4844.78075934349,1900568,482
1.66666666666667e-05,1865,0.606378446115288,30,-2.31009835256215,20,4970,12,4,0.6503125,0.00630624999999996,0.00969726093224405,0.734575,0.975,0.00241448692152917,0.833742007777998,4696.6776811021,3541861,487
