"alpha","spec","ID","pi","SegSites","TajD","HapNum","Fixed","Singletons","Doubletons","H1","H2","H2.H1","H12","Freq","Singletons.Fixed","ehh","ihh"
"1500","98","837","0.502518796992481","22","-2.16442025993035","18","4978","8","3","0.7907125","0.00305624999999998","0.00386518488072464","0.8839","0.98","0.00160707111289675","0.903093846234146","4747.13228117334"
"1500","98","838","0.449185463659148","25","-2.29076152992252","16","4975","10","2","0.8609125","0.000656250000000025","0.00076227258867774","0.8980125","0.98","0.00201005025125628","0.947322407223759","4926.66277597996"
"1500","98","839","0.443984962406015","24","-2.26776276680014","20","4976","6","5","0.8243","0.000743750000000043","0.000902280723037781","0.8560625","0.985","0.00120578778135048","0.923218506606735","4798.78982446623"
"1500","98","840","0.709235588972431","27","-2.17310449166394","11","4973","7","4","0.663625","0.0316","0.0476172537200979","0.94585","0.985","0.00140760104564649","0.841083168649333","4947.18328360522"
"1500","98","841","0.567531328320802","34","-2.40868620562486","16","4966","15","6","0.8609125","0.000656250000000025","0.00076227258867774","0.8980125","0.98","0.00302053966975433","0.947322407223759","4919.99441515737"
"1500","98","842","0.703245614035088","28","-2.20401720956135","12","4972","5","5","0.8935","0.000475000000000003","0.000531617235590379","0.926575","0.9825","0.00100563153660499","0.962429246507763","4858.56527496495"
"1500","98","843","0.364135338345865","26","-2.37186950090035","20","4974","17","1","0.819925","0.000900000000000012","0.00109766137146692","0.856125","0.98","0.00341777241656614","0.925191815856778","4758.44392974581"
"1500","98","844","0.380714285714286","23","-2.28569654678847","18","4977","7","4","0.8838875","0.000287499999999996","0.000325267638698359","0.9026875","0.975","0.00140646976090014","0.964445323314218","4897.62524553424"
"1500","98","845","0.558471177944862","31","-2.35841723450951","20","4969","17","2","0.8065625","0.00105624999999998","0.00130956993413403","0.8424625","0.985","0.0034212115113705","0.913712041952442","4767.55249867607"
"1500","98","846","1.88809523809524","37","-1.81607619656623","16","4963","14","2","0.601325","0.0161","0.0267742069596308","0.769625","0.96","0.00282087447108604","0.815682114882507","4605.90014414708"
"1500","98","847","0.631679197994988","31","-2.316931491261","12","4969","7","6","0.9123","0.000275000000000025","0.000301435931163022","0.9314","0.9825","0.00140873415174079","0.962344861608766","4919.29693098613"
"1500","98","848","1.3519298245614","34","-1.99880298946993","22","4966","6","3","0.7844125","0.00118750000000001","0.00151387184676431","0.8198125","0.9725","0.00120821586790173","0.912424138022421","4769.42834521506"
"1500","98","849","0.229348370927318","27","-2.47964675196403","16","4973","14","8","0.9074625","0.000206249999999963","0.00022728211909579","0.9265125","0.9925","0.00281520209129298","0.960104826603567","4909.21020660001"
"1500","98","850","0.617907268170426","38","-2.44691450278215","17","4962","17","2","0.8793125","0.000406250000000052","0.000462008671547433","0.9074375","0.9725","0.00342603788794841","0.964560199295047","4958.56703018578"
"1500","98","851","1.0130701754386","30","-2.07294834692485","23","4970","14","2","0.7231875","0.00493125000000005","0.0068187710655951","0.8333625","0.98","0.0028169014084507","0.869682655670964","4803.86818857978"
"1500","98","852","0.243045112781955","23","-2.38650652134153","15","4977","12","8","0.90275","0.000249999999999972","0.000276931597895289","0.92175","0.9775","0.00241109101868596","0.972116204341268","4942.76982097187"
"1500","98","853","0.347042606516291","32","-2.49425155266086","15","4968","21","3","0.852125","0.00111874999999995","0.00131289423500067","0.89825","0","0.00422705314009662","0.935712908822206","4847.09600976675"
"1500","98","854","0.956992481203008","38","-2.28637332327251","21","4962","8","9","0.7931625","0.00106249999999997","0.0013395741730099","0.8287625","0.97","0.00161225312374043","0.919543674578438","4778.43934974293"
"1500","98","855","0.941654135338346","23","-1.8749413227835","14","4977","8","6","0.6586375","0.0266125","0.040405382323357","0.9170125","0.9725","0.0016073940124573","0.847302096308271","4608.39199772083"
"1500","98","856","1.04586466165414","36","-2.20358122198088","14","4964","7","2","0.860875","0.000618750000000001","0.000718745462465516","0.8887","0.98","0.00141015310233683","0.947361553316979","4878.87609609061"
"1500","98","857","0.275062656641604","14","-2.03777345853643","12","4986","7","1","0.8840375","0.00043749999999998","0.000494888508688805","0.9075375","0.9675","0.00140393100681909","0.971843997268747","4919.37841908664"
"1500","98","858","0.925012531328321","33","-2.19939370366096","21","4967","10","3","0.8063125","0.000806250000000008","0.000999922486628954","0.8332375","0.975","0.00201328769881216","0.922351855513809","4776.66283040011"
"1500","98","859","0.56077694235589","27","-2.26793687599023","17","4973","11","2","0.7766","0.00219999999999998","0.00283286118980167","0.8294","0.985","0.00221194450030163","0.898005709045349","4765.37660970538"
"1500","98","860","0.852243107769424","28","-2.11177763164069","22","4972","7","2","0.732675","0.00165000000000004","0.00225202170130009","0.766875","0.96","0.00140788415124698","0.882207354221062","4758.35367711053"
"1500","98","861","0.513684210526316","29","-2.34337442351102","11","4971","7","8","0.829825","0.00172499999999998","0.00207875154400021","0.884425","0.985","0.00140816737075035","0.925982614536108","4859.61186887279"
"1500","98","862","0.624423558897243","37","-2.42874738248025","19","4963","18","4","0.7859625","0.00273749999999995","0.00348299060069653","0.8700375","0.98","0.00362683860568205","0.906799676392296","4678.91122318493"
"1500","98","863","0.536578947368421","30","-2.35079982330226","16","4970","12","5","0.893375","0.000349999999999961","0.000391772771792317","0.921725","0.97","0.00241448692152917","0.974519832707318","4934.04664482272"
"1500","98","864","0.447593984962406","18","-2.05799578534994","15","4982","8","3","0.82505","0.00149374999999996","0.00181049633355549","0.8840375","0.98","0.00160578081091931","0.92788637194008","4775.64735241923"
